Udm1,,,,,,,,,,,
Specimen Number,ID,Group,,,,,,,,,
STS 24,STS24URDM1flcrsc.jpg,Aafricanus,,,,,,,,,
DNH 36,DNH36URDM1Oflcrs.jpg,Probustus,,,,,,,,,
SK 91,SK91URDM1Oflcrsc.jpg,Probustus,,,,,,,,,
AL 333-86,AL333-86URDM1Oflcrsc.jpg,Aafarensis,,,,,,,,,
101-1377,101-1377uldmflcrsc.jpg,Hnaledi,,,,,,,,,
Blombos 8928,Blombos 8928 udm1 O_bw.jpg,EHs,,,,,,,,,
Arcy 18,arcy 18 uldm1 O_bw.jpg,Neanderthals,,,,,,,,,
KRP KDP 1,KRP KDP 1 uldm1 O1_bw.jpg,Neanderthals,,, ,,,,,,
KRP D181,KRP_D181 urdm1 O flipped_bw.jpg,Neanderthals,,,, ,,,,,
KRP D183,KRP_D183 uldm1 O flipped_bw.jpg,Neanderthals,,,,,,,,,
Subalyuk 2,Subalyuk 2 uldm1 O corrected_bw.jpg,Neanderthals,,,,,,,,,
Valgedoba 7,Valgedoba 7 uldm1 O_bw.jpg,Neanderthals,,,,,,,,,
LaQuina H18,LaQuina H18 uldm1 O corrected_bw.jpg,Neanderthals,,,,,,,,,
Mezmaskaiya,Mezmaskaiya uldm1 O_bw.jpg,Neanderthals,,,,,,,,,
SAF 52,SAF 52 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF 58b,SAF 58b urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
SAF 95,SAF 95 uldm1 O_bw.jpg,Recent,,,,,,,,,
SAF 137,SAF 137 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF 150,SAF 150 uldm1_bw.jpg,Recent,,,,,,,,,
SAF 151,SAF 151 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF 193,SAF 193 uldm1_bw.jpg,Recent,,,,,,,,,
SAF 195,SAF 195 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF 197,SAF 197 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF 210,SAF 210 urdm1 O_bw.jpg,Recent,,,,,,,,,
SAF 231,SAF 231 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF 346,SAF 346 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF 357,SAF 357 uldm1_bw.jpg,Recent,,,,,,,,,
SAF 381,SAF 381 uldm1_bw.jpg,Recent,,,,,,,,,
SAF 437,SAF 437 urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
SAF 468,SAF 468 urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
SAF A656,SAF A656 uldm1 O_bw.jpg,Recent,,,,,,,,,
SAF A667,SAF A667 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF A669,SAF A669 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF A1145,SAF A1145 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF A1235,SAF A1235 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A1244,SAF A1244 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A1247,SAF A1247 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A1327,SAF A1327 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A1439,SAF A1439 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A1469,SAF A1469 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A1655,SAF A1655 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A2545,SAF A2545 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A2556,SAF A2556 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A2561,SAF A2561 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A2562,SAF A2562 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A2819,SAF A2819 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
SAF A3018,SAF A3018 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
SAF A3019,SAF A3019 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A3025,SAF A3025 uldm1_bw.jpg,Recent,,,,,,,,,
SAF A3148,SAF A3148 urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
Figuier,Figuier urdm1 O flipped corrected_bw.jpg,UP,,,,,,,,,
Pataud,Pataud urdm1 O flipped corrected_bw.jpg,UP,,,,,,,,,
SG B6,SG B6 URdm1 O flipped corrected_bw.jpg,UP,,,,,,,,,
Bruniquel II,Bruniquel II uldm1 O_bw.jpg,UP,,,,,,,,,
CavalloB,CavalloB uldm1 O_bw.jpg,UP,,,,,,,,,
Kostenki 15,Kostenki 15 uldm1 O_bw.jpg,UP,,,,,,,,,
Madelene,Madelene uldm1 O_bw.jpg,UP,,,,,,,,,
LV,LV urdm1 corrected flipped_bw.jpg,UP,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
